seconds_before_off,country_code,race_class_band,field_size,all_run,short_fav,prob_band,dist_to_eff
120,IE,high,small,TRUE,TRUE,prob_vlow,0.17622101176110042
120,IE,high,mid,FALSE,FALSE,prob_mid,0.05631875220995062
120,IE,high,mid,FALSE,FALSE,prob_low,0.07630741232940723
120,IE,high,mid,FALSE,FALSE,prob_vlow,0.1464176729001013
120,IE,high,mid,FALSE,TRUE,prob_high,0.03350892016978733
120,IE,high,mid,FALSE,TRUE,prob_mid,0.06855708830369543
120,IE,high,mid,FALSE,TRUE,prob_low,0.11347282607644738
120,IE,high,mid,FALSE,TRUE,prob_vlow,0.17374726498187623
120,IE,high,mid,TRUE,FALSE,prob_mid,0.05238234295630057
120,IE,high,mid,TRUE,FALSE,prob_low,0.08383736917280848
120,IE,high,mid,TRUE,FALSE,prob_vlow,0.14216251811039055
120,IE,high,mid,TRUE,TRUE,prob_high,0.03897371950167511
120,IE,high,mid,TRUE,TRUE,prob_mid,0.07277353746677084
120,IE,high,mid,TRUE,TRUE,prob_low,0.09773266339355377
120,IE,high,mid,TRUE,TRUE,prob_vlow,0.1647308144824153
120,IE,high,large,FALSE,FALSE,prob_mid,0.0666868913445276
120,IE,high,large,FALSE,FALSE,prob_low,0.09197172760645236
120,IE,high,large,FALSE,FALSE,prob_vlow,0.1413457258843661
120,IE,high,large,TRUE,FALSE,prob_mid,0.05826651554500281
120,IE,high,large,TRUE,FALSE,prob_low,0.08746470148088951
120,IE,high,large,TRUE,FALSE,prob_vlow,0.15032123315468626
120,IE,high,large,TRUE,TRUE,prob_high,0.06304109472952583
120,IE,high,large,TRUE,TRUE,prob_mid,0.06025263828565851
120,IE,high,large,TRUE,TRUE,prob_low,0.09510070069833651
120,IE,high,large,TRUE,TRUE,prob_vlow,0.18563527633562613
120,IE,low,small,FALSE,FALSE,prob_mid,0.05918053887947118
120,IE,low,small,FALSE,FALSE,prob_low,0.0961606154974078
120,IE,low,small,FALSE,FALSE,prob_vlow,0.17597486021750777
120,IE,low,small,FALSE,TRUE,prob_high,0.04172292438099616
120,IE,low,small,FALSE,TRUE,prob_mid,0.07851894548125016
120,IE,low,small,FALSE,TRUE,prob_low,0.11384929991265845
120,IE,low,small,FALSE,TRUE,prob_vlow,0.21280848125936536
120,IE,low,small,TRUE,FALSE,prob_mid,0.06835319095721967
120,IE,low,small,TRUE,FALSE,prob_low,0.09946093360738593
120,IE,low,small,TRUE,FALSE,prob_vlow,0.16927043024266564
120,IE,low,small,TRUE,TRUE,prob_high,0.04382000734246372
120,IE,low,small,TRUE,TRUE,prob_mid,0.07119159833186371
120,IE,low,small,TRUE,TRUE,prob_low,0.11524425759199747
120,IE,low,small,TRUE,TRUE,prob_vlow,0.21506580942385634
120,IE,low,mid,FALSE,FALSE,prob_mid,0.06593309437519028
120,IE,low,mid,FALSE,FALSE,prob_low,0.09785138184922787
120,IE,low,mid,FALSE,FALSE,prob_vlow,0.1585789706878472
120,IE,low,mid,FALSE,TRUE,prob_high,0.03919730240889904
120,IE,low,mid,FALSE,TRUE,prob_mid,0.06939474889199862
120,IE,low,mid,FALSE,TRUE,prob_low,0.10243384859074635
120,IE,low,mid,FALSE,TRUE,prob_vlow,0.19281075145270882
